Estado,Mujeres
Nacional,32.16
Aguascalientes,35.89
Baja California,42.06
Baja California Sur,29.71
Campeche,24.55
Coahuila,27.86
Colima,21.62
Chiapas,28.38
Chihuahua,36.3
Distrito Federal,32.1
Durango,28.06
Guanajuato,32.37
Guerrero,29
Hidalgo,24.31
Jalisco,35.65
México,42.53
Michoacán,32.95
Morelos,26.72
Nayarit,22.58
Nuevo León,32.59
Oaxaca,19.42
Puebla,32.97
Querétaro,34.9
Quintana Roo,27.64
San Luis Potosí,29.94
Sinaloa,15.11
Sonora,33.05
Tabasco,37.4
Tamaulipas,30.88
Tlaxcala,30.76
Veracruz,28.11
Yucatán,29.52
Zacatecas,23.64
